bsk_id,bsk_name_x,block_mun_id,service_id,usage_count,unique_customers,service_name,rank_in_block
1,DM OFFICE  ALIPURDUAR,343,470,189,43,Payment - e-Payment Stamp Duty & Registration Fees,1
1,DM OFFICE  ALIPURDUAR,343,22,128,94,Apply - Land Revenue (Khajna),2
1,DM OFFICE  ALIPURDUAR,343,156,122,96,Apply - Verification of Electoral Roll Online,3
1,DM OFFICE  ALIPURDUAR,343,155,109,84,Apply - Submission of Form for Electoral Roll,4
1,DM OFFICE  ALIPURDUAR,343,199,49,25,Apply - Payment of WBSEDCL Electricity Bill,5
1,DM OFFICE  ALIPURDUAR,343,171,25,11,Apply - Map Service,6
2,DM OFFICE BANKURA,344,367,441,151,Search - GRN Information,1
2,DM OFFICE BANKURA,344,199,399,217,Apply - Payment of WBSEDCL Electricity Bill,2
2,DM OFFICE BANKURA,344,171,359,119,Apply - Map Service,3
2,DM OFFICE BANKURA,344,408,238,209,Search - Status of Application of Swasthya Sathi Card,4
2,DM OFFICE BANKURA,344,242,182,148,Apply - Payment of Municipal & Corporation Tax,5
2,DM OFFICE BANKURA,344,470,182,129,Payment - e-Payment Stamp Duty & Registration Fees,5
2,DM OFFICE BANKURA,344,6,110,103,Caste Certificate,6
3,DM OFFICE BIRBHUM,352,199,477,118,Apply - Payment of WBSEDCL Electricity Bill,1
3,DM OFFICE BIRBHUM,352,218,444,372,Search - Muktidhara Scheme Information ,2
3,DM OFFICE BIRBHUM,352,331,354,295,Training Centre details (Paschim Banga Society for Skill Development),3
3,DM OFFICE BIRBHUM,352,127,318,275,Search - Application Status of Digital Ration Card Application,4
3,DM OFFICE BIRBHUM,352,408,312,272,Search - Status of Application of Swasthya Sathi Card,5
3,DM OFFICE BIRBHUM,352,358,247,225,Search - Download of e-Ration Card,6
4,DM OFFICE COOCH BEHAR,353,470,250,58,Payment - e-Payment Stamp Duty & Registration Fees,1
4,DM OFFICE COOCH BEHAR,353,199,155,54,Apply - Payment of WBSEDCL Electricity Bill,2
4,DM OFFICE COOCH BEHAR,353,22,44,38,Apply - Land Revenue (Khajna),3
4,DM OFFICE COOCH BEHAR,353,155,20,19,Apply - Submission of Form for Electoral Roll,4
4,DM OFFICE COOCH BEHAR,353,2,14,14,Application for Aikyasree Scholarship,5
4,DM OFFICE COOCH BEHAR,353,128,12,9,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
4,DM OFFICE COOCH BEHAR,353,352,12,10,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,6
5,DM OFFICE DAKSHIN DINAJPUR,359,199,50,28,Apply - Payment of WBSEDCL Electricity Bill,1
5,DM OFFICE DAKSHIN DINAJPUR,359,171,12,10,Apply - Map Service,2
5,DM OFFICE DAKSHIN DINAJPUR,359,22,5,5,Apply - Land Revenue (Khajna),3
5,DM OFFICE DAKSHIN DINAJPUR,359,470,3,2,Payment - e-Payment Stamp Duty & Registration Fees,4
5,DM OFFICE DAKSHIN DINAJPUR,359,169,2,2,Apply - ROR Application ,5
5,DM OFFICE DAKSHIN DINAJPUR,359,352,2,2,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,5
5,DM OFFICE DAKSHIN DINAJPUR,359,128,1,1,Apply - Aadhaar & Mobile Link with Digital Ration Card,6
5,DM OFFICE DAKSHIN DINAJPUR,359,192,1,1,Application for EWS Certificates,6
5,DM OFFICE DAKSHIN DINAJPUR,359,275,1,1,Apply - Grievance to CMO,6
5,DM OFFICE DAKSHIN DINAJPUR,359,366,1,1,Apply - Manabik Pension Scheme (Disability Pension Scheme),6
5,DM OFFICE DAKSHIN DINAJPUR,359,477,1,1,Apply - Distance Certificate for Students,6
