block_muni_id,block_muni_name,sub_div_id,district_id,bm_type
502,NEWTOWN KOLKATA DEVELOPMENT AUTHORITY,40,2,MU
69,RANGLI RANGLIOT,15,8,BL
262,PANSKURA,57,15,BL
503,TAMRALIPTA MUNICIPALITY,57,15,MU
504,SMC(JALPAIGURI SDO),25,13,MC
505,CONTAI II,54,15,BL
506,PANSKURA I,57,15,BL
433,BARANAGAR MUNICIPALITY,41,2,MU
434,BARRACKPORE MUNICIPALITY,41,2,MU
435,BASIRHAT MUNICIPALITY,42,2,MU
507,PANSKURA II,57,15,BL
436,BHATPARA MUNICIPALITY,41,2,MU
437,BONGAON MUNICIPALITY,44,2,MU
438,DUM DUM MUNICIPALITY,41,2,MU
439,GARULIA MUNICIPALITY,41,2,MU
440,GOBARDANGA MUNICIPALITY,40,2,MU
441,KANCHRAPARA MUNICIPALITY,41,2,MU
442,KHARDAH MUNICIPALITY,41,2,MU
443,NEW BARRACKPORE MUNICIPALITY,40,2,MU
444,NORTH BARRACKPORE MUNICIPALITY,40,2,MU
445,PANIHATI MUNICIPALITY,41,2,MU
96,DOMJUR,23,12,BL
419,COOPERS CAMP NOTIFIED AREA,38,18,MU
446,SOUTH DUM DUM MUNICIPALITY,41,2,MU
447,TAKI MUNICIPALITY,42,2,MU
448,TITAGARH MUNICIPALITY,41,2,MU
449,NAIHATI MUNICIPALITY,41,2,MU
450,HABRA MUNICIPALITY,40,2,MU
483,DIAMOND HARBOUR MUNICIPALITY,65,3,MU
485,MAHESHTALA MUNICIPALITY,62,3,MU
486,PUJALI MUNICIPALITY,62,3,MU
488,DALKHOLA MUNICIPALITY,67,10,MU
489,ISLAMPUR MUNICIPALITY,67,10,MU
491,RAIGANJ MUNICIPALITY,68,10,MU
492,FALAKATA MUNICIPALITY,1,20,MU
496,BANARHAT,25,13,BL
30,SURI-II,7,6,BL
113,MAL,26,13,BL
497,LAVA,28,21,BL
126,PEDONG,28,21,BL
235,MIDNAPORE SADAR,49,16,BL
296,JHALDA II,59,19,BL
285,PURULIA I,58,19,BL
286,PURULIA II,58,19,BL
484,JAYNAGAR-MAZILPUR MUNICIPALITY,63,3,MU
487,RAJPUR-SONARPUR MUNICIPALITY,63,3,MU
490,KALIAGANJ MUNICIPALITY,68,10,MU
411,DHULIAN MUNICIPALITY,33,17,MU
414,JIAGANJ-AZIMGANJ MUNICIPALITY,35,17,MU
427,TAHERPUR NOTIFIED AREA,38,18,MU
431,ASHOKENAGAR-KALYANGARH MUNICIPALITY,40,2,MU
412,DOMKAL MUNICIPALITY,32,17,MU
413,JANGIPUR MUNICIPALITY,33,17,MU
415,KANDI MUNICIPALITY,34,17,MU
416,MURSHIDABAD MUNICIPALITY,35,17,MU
417,BIRNAGAR MUNICIPALITY,38,18,MU
418,CHAKDAHA MUNICIPALITY,36,18,MU
420,GAYESHPUR MUNICIPALITY,36,18,MU
421,HARINGHATA MUNICIPALITY,36,18,MU
422,KALYANI MUNICIPALITY,36,18,MU
423,KRISHNANAGAR MUNICIPALITY,37,18,MU
424,NABADWIP MUNICIPALITY,37,18,MU
425,RANAGHAT MUNICIPALITY,38,18,MU
426,SANTIPUR MUNICIPALITY,38,18,MU
428,BARASAT MUNICIPALITY,40,2,MU
429,MADHYAMGRAM MUNICIPALITY,40,2,MU
430,NORTH DUM DUM MUNICIPALITY,41,2,MU
432,BADURIA MUNICIPALITY,42,2,MU
31,SAINTHIA,7,6,BL
498,MAYNAGURI MUNICIPALITY,25,13,MU
32,RAJNAGAR,7,6,BL
33,KHOYRASOLE,7,6,BL
34,DUBRAJPUR,7,6,BL
35,MD. BAZAR,7,6,BL
36,BOLPUR-SRINIKETAN,5,6,BL
37,ILLAMBAZAR,5,6,BL
38,NANOOR,5,6,BL
39,LABPUR,5,6,BL
40,RAMPURHAT-I,6,6,BL
41,RAMPURHAT-II,6,6,BL
42,NALHATI-I,6,6,BL
43,NALHATI-II,6,6,BL
44,MAYURESWAR-I,6,6,BL
45,MAYURESWAR-II,6,6,BL
46,MURARAI-I,6,6,BL
47,MURARAI-II,6,6,BL
48,COOCH BEHAR -I,8,7,BL
49,COOCH BEHAR -II,8,7,BL
50,DINHATA -I,9,7,BL
51,DINHATA -II,9,7,BL
52,SITAI,9,7,BL
465,MEDINIPUR MUNICIPALITY,49,16,MU
466,RAMJIBANPUR MUNICIPALITY,47,16,MU
473,CONTAI   MUNICIPALITY,54,15,MU
451,HALISAHAR MUNICIPALITY,41,2,MU
452,KAMARHATI MUNICIPALITY,41,2,MU
453,BIDHANNAGAR MUNICIPAL CORPORATION,43,2,MC
456,ASANSOL MUNICIPAL CORPORATION,45,23,MC
