service_id,service_name,service_desc
1,Search - Application Status of Kanyasree Prakalpa,"A flagship conditional cash transfer scholarship for unmarried girls aged 13–18 in West Bengal offering ?750 annual and ?25,000 one-time grant at 18, supporting education and delaying marriage. The online system uses Applicant ID/DOB/Captcha to track application status; funds are transferred via bank. Primary Domain: Education (80%), Cross?Domain: Social Welfare, Legal Services (age/marital proof), Finance, Public Services (wbkanyashree.gov.in, buddy4study.com)"
2,Application for Aikyasree Scholarship,"Minority-focused WBMDFC scholarship for students from Class 1 to PhD (?1,100–?33,000); covers tuition, maintenance and books with full online application, renewal, document upload, and real-time status updates. Primary Domain: Education (80%), Cross?Domain: Social Welfare, Finance, Certificates"
4,Application for Income Certificates,"Digital portal to apply for and receive income certificates via bank statements or affidavits, crucial for subsidies, scholarships, fee waivers, housing and welfare eligibility. Works via upload, verification, and digital issuance. Primary Domain: Certificates (80%), Cross?Domain: Finance, Social Welfare, Legal Services"
6,Caste Certificate,"Online application for caste/reservation certificates using Aadhaar and birth or school records. Offers streamlined verification and digital issuance to access reservations in education, employment, and welfare. Primary Domain: Certificates (80%), Cross?Domain: Social Welfare, Legal Services, Employment"
10,Apply - Online Application for WBPRB,"Digital portal for West Bengal Police recruitment (Constable/SI): includes registration, form fill-up, document upload, fee payment, exam scheduling, admit cards, and application status tracking. Primary Domain: Employment (70%), Cross?Domain: Police & Law Enforcement, Certificates, Finance"
11,Online Application for WBMSC,"Online portal for paramedical/nursing recruitment via WBMSC: eligibility checks, document uploads, fee payment, admit cards, and summary dashboards to track application progress and support healthcare staffing. Primary Domain: Employment (70%), Cross?Domain: Health, Certificates, Finance"
13,Different Taxes of Gram Panchayats,"Rural tax portal allowing calculation and payment of property, sanitation, and trade taxes via bank/UPI, generating receipts and history logs to support transparent revenue collection. Primary Domain: Taxation (75%), Cross?Domain: Public Services, Housing & Utilities, Finance"
14,Municipality Tax Payments,"Urban civic portal for property, water, and trade tax calculations and payments, with payment history, e-receipts, reminders, and notifications to fund municipal services. Primary Domain: Taxation (75%), Cross?Domain: Housing & Utilities, Finance, Public Services"
16,Trade registration under Gram Panchayats,"Licensing portal for rural businesses to apply for, renew, or cancel trade licenses and NOCs; includes uploads, fee processing, tracking, and digital certificate issuance. Primary Domain: Permits & Licenses (75%), Cross?Domain: Registration, Finance, Public Services"
17,Apply - Passport Applications,"National passport application portal: form completion, document/photo upload, appointment setup, fee payment, biometric scheduling, and live status tracking for legal identity and travel. Primary Domain: Legal Services (80%), Cross?Domain: Public Services, Certificates, Transport"
20,Know your property,"Land records portal for Khatian/Jamabandi, survey maps, encumbrance certificates, and history downloads to support legal verification, sale, or loans. Primary Domain: Legal Services (80%), Cross?Domain: Registration, Housing & Utilities, Taxation"
22,Apply - Land Revenue (Khajna),"Digital portal for landowners to calculate khajna dues, upload payments, get e-receipts, and maintain compliance with landholding records. Primary Domain: Taxation (70%), Cross?Domain: Legal Services, Housing & Utilities, Public Services"
23,SEBA,"Education Board portal for Class 10 & 12: offers exam registration, admit cards, results, digital marksheets and certificates for academic and legal record keeping. Primary Domain: Education (80%), Cross?Domain: Certificates, Public Services, Legal Services"
63,Apply - Bangla Shasya Bima,"Fully state-funded crop insurance from 2019–20 for Kharif/Rabi crops. Auto-enrolls loanee, tenant, sharecropper farmers; includes online application, claim filing for prevented sowing/adversity/post-harvest, real-time tracking, and direct bank compensation. Primary Domain: Agriculture (80%), Cross?Domain: Finance, Public Services, Legal Services, Permits & Licenses"
104,"Firms, Societies and Non- Trading Corporations-Duplicate certificate","Portal to request duplicate registration certificates for NGOs, societies, and firms: upload forms and documents, pay fees, verify, and receive digital copies. Primary Domain: Registration (80%), Cross?Domain: Legal Services, Public Services"
64,Search - Bangla Shasya Bima,"Information portal with details (helpline, eligibility, Aadhaar, land record, document list) for Bangla Shasya Bima crop insurance scheme covering prevented sowing, adversity, post-harvest; supports farmer awareness. Primary Domain: Agriculture (80%), Cross?Domain: Finance, Legal, Public Services"
65,Krishi Sinchayee Scheme,"Irrigation subsidy portal for drip/sprinkler systems: farmers apply, upload land documents, track fund approval and release, promoting sustainable agriculture and water efficiency. Primary Domain: Agriculture (75%), Cross?Domain: Public Services, Finance, Permits & Licenses"
66,Kisan Credit Card,"Online KCC loan portal for farmers: upload land/income proofs, check eligibility, apply, and track loan issuance/repayment to support farming finance. Primary Domain: Agriculture (70%), Cross?Domain: Finance, Certificates, Legal Services"
67,Farmer pensioner Ex-Gratia,"Portal for senior farmer pension/ex-gratia support: submit age, land, income records, track eligibility and payment, and receive funds for livelihood post retirement. Primary Domain: Social Welfare (75%), Cross?Domain: Agriculture, Finance, Certificates"
68,Farmer pensioner legal heir,"A portal for legal heirs of deceased farmer pensioners, enabling online submission of heirship documents, Aadhaar, and land records to claim pending pension/ex-gratia; features eligibility checks, document validation, and direct fund transfer. Primary Domain: Social Welfare (75%), Cross?Domain: Legal Services, Agriculture, Finance, Certificates."
69,Apply - Krishak Bandhu Scheme,"State programme granting annual direct income (?5,000 per acre or ?4,000 pro-rata) and ?200,000 death/disability cover for farmers. Applicants submit land records, Aadhaar, bank details via GP/online portals for benefit tracking and DBT. Primary Domain: Agriculture (75%), Cross?Domain: Finance, Social Welfare, Legal Services, Certificates. (myscheme.gov.in)"
